_date,total_views,unique_views
2021-03-08,78,13
2021-03-09,26,12
2021-03-10,235,21
2021-03-11,61,14
2021-03-12,39,12
2021-03-13,30,12
2021-03-14,27,9
2021-03-15,70,19
2021-03-16,113,21
2021-03-17,177,17
2021-03-18,70,12
2021-03-19,153,23
2021-03-20,30,10
2021-03-21,10,6
