_date,total_clones,unique_clones
2021-03-08,45,8
2021-03-09,10,3
2021-03-10,39,10
2021-03-11,1,1
2021-03-12,1,1
2021-03-14,1,1
2021-03-15,31,5
2021-03-16,21,6
2021-03-17,56,4
2021-03-18,9,4
2021-03-19,29,6
