_date,total_views,unique_views
2021-05-31,41,20
2021-06-01,44,17
2021-06-02,18,13
2021-06-03,68,18
2021-06-04,19,11
2021-06-05,18,7
2021-06-06,5,5
2021-06-07,15,14
2021-06-08,7,7
2021-06-09,29,12
2021-06-10,14,14
2021-06-11,13,10
2021-06-12,6,6
2021-06-13,11,8
