_date,total_clones,unique_clones
2021-05-19,1,1
2021-05-20,1,1
2021-05-21,2,2
2021-05-23,2,1
2021-05-24,10,5
2021-05-25,1,1
2021-05-27,6,2
2021-05-29,2,2
